"Japanese","English"
"//Text $1AF650
#WRITE(ptr,$18C7EC)
冷たくてあま～い氷菓子。[LINE]
最大ＨＰの１０％分回復する氷菓子。[LINE]
[END]
","//Text $1AF650
#WRITE(ptr,$18C7EC)
A cool and sweet frozen treat.[LINE]
Restores 10% of max HP.[END]
"
"//Text $1AF638
#WRITE(ptr,$18C804)
[Sign_9]ホーリィボトル[END]
","//Text $1AF638
#WRITE(ptr,$18C804)
[Sign_9]Holy Bottle[END]
"
"//Text $1AF5E8
#WRITE(ptr,$18C808)
敵とほとんど遭遇しなくなる。[LINE]
一定時間経過か、[LINE]
ダークボトルを使うと元に戻る。[END]
","//Text $1AF5E8
#WRITE(ptr,$18C808)
Contains holy essence. Wards off[LINE]
enemies for a fixed duration.[END]
"
"//Text $1AF5D0
#WRITE(ptr,$18C820)
[Sign_9]ダークボトル[END]
","//Text $1AF5D0
#WRITE(ptr,$18C820)
[Sign_9]Dark Bottle[END]
"
"//Text $1AF580
#WRITE(ptr,$18C824)
敵と遭遇しやすくなる。[LINE]
一定時間経過か、[LINE]
ホーリィボトルを使うと元に戻る。[END]
","//Text $1AF580
#WRITE(ptr,$18C824)
Contains evil spirits. Attracts[LINE]
enemies for a fixed duration.[END]
"
"//Text $1AF570
#WRITE(ptr,$18C83C)
[Sign_9]中和剤[END]
","//Text $1AF570
#WRITE(ptr,$18C83C)
[Sign_9]Neutralizer[END]
"
"//Text $1AF548
#WRITE(ptr,$18C840)
毒ガスを中和する薬剤。[LINE]
時間制限あり。[LINE]
[END]
","//Text $1AF548
#WRITE(ptr,$18C840)
Neutralizes environmental poisons.[END]
"
"//Text $1AF538
#WRITE(ptr,$18C858)
[Sign_9]セージ[END]
","//Text $1AF538
#WRITE(ptr,$18C858)
[Sign_9]Sage[END]
"
"//Text $1AF500
#WRITE(ptr,$18C85C)
体力が３上昇する薬草。[LINE]
心地よい香りで気分を和ませる。[LINE]
[END]
","//Text $1AF500
#WRITE(ptr,$18C85C)
A medicinal herb that[LINE]
increases vitality by 3.[END]
"
"//Text $1AF4F0
#WRITE(ptr,$18C874)
[Sign_9]ラベンダー[END]
","//Text $1AF4F0
#WRITE(ptr,$18C874)
[Sign_9]Lavender[END]
"
"//Text $1AF4B8
#WRITE(ptr,$18C878)
攻撃力が１上昇する薬草。[LINE]
ほのかに香るハーブの女王。[LINE]
[END]
","//Text $1AF4B8
#WRITE(ptr,$18C878)
A medicinal herb that increases[LINE]
physical attack by 1.[END]
"
"//Text $1AF4A8
#WRITE(ptr,$18C890)
[Sign_9]ベルベーヌ[END]
","//Text $1AF4A8
#WRITE(ptr,$18C890)
[Sign_9]Verbena[END]
"
"//Text $1AF470
#WRITE(ptr,$18C894)
防御力が１上昇する薬草。[LINE]
レモンに似た香りがさわやか。[LINE]
[END]
","//Text $1AF470
#WRITE(ptr,$18C894)
A medicinal herb that increases[LINE]
physical defense by 1.[END]
"
"//Text $1AF458
#WRITE(ptr,$18C8AC)
[Sign_9]ローズマリー[END]
","//Text $1AF458
#WRITE(ptr,$18C8AC)
[Sign_9]Rosemary[END]
"
"//Text $1AF420
#WRITE(ptr,$18C8B0)
術攻撃力が１上昇する薬草。[LINE]
若返りのハーブと言われる。[LINE]
[END]
","//Text $1AF420
#WRITE(ptr,$18C8B0)
A medicinal herb that increases[LINE]
magic attack by 1.[END]
"
"//Text $1AF410
#WRITE(ptr,$18C8C8)
[Sign_9]サフラン[END]
","//Text $1AF410
#WRITE(ptr,$18C8C8)
[Sign_9]Saffron[END]
"
"//Text $1AF3D8
#WRITE(ptr,$18C8CC)
術防御力が１上昇する薬草。[LINE]
サフランライスが有名。[LINE]
[END]
","//Text $1AF3D8
#WRITE(ptr,$18C8CC)
A medicinal herb that increases[LINE]
magic defense by 1.[END]
"
"//Text $1AF3C8
#WRITE(ptr,$18C8E4)
[Sign_9]カモミール[END]
","//Text $1AF3C8
#WRITE(ptr,$18C8E4)
[Sign_9]Camomile[END]
"
"//Text $1AF388
#WRITE(ptr,$18C8E8)
命中率が１上昇する薬草。[LINE]
古くから使われるハーブ療法の代表。[LINE]
[END]
","//Text $1AF388
#WRITE(ptr,$18C8E8)
A medicinal herb that increases[LINE]
accuracy by 1.[END]
"
"//Text $1AF378
#WRITE(ptr,$18C900)
[Sign_9]セボリー[END]
","//Text $1AF378
#WRITE(ptr,$18C900)
[Sign_9]Savory[END]
"
"//Text $1AF330
#WRITE(ptr,$18C904)
回避率が１上昇する薬草。[LINE]
辛味と強い芳香があり[LINE]
料理などにも使われる。[END]
","//Text $1AF330
#WRITE(ptr,$18C904)
A medicinal herb that increases[LINE]
evasion rate by 1.[END]
"
"//Text $1AF320
#WRITE(ptr,$18C91C)
[Sign_9]ジャスミン[END]
","//Text $1AF320
#WRITE(ptr,$18C91C)
[Sign_9]Jasmine[END]
"
"//Text $1AF2E0
#WRITE(ptr,$18C920)
集中力が１上昇する薬草。[LINE]
幸福をもたらす甘い香りのハーブ。[LINE]
[END]
","//Text $1AF2E0
#WRITE(ptr,$18C920)
A medicinal herb that increases[LINE]
critical hit rate by 1.[END]
"
"//Text $1AF2C8
#WRITE(ptr,$18C938)
[Sign_9]ブルーセージ[END]
","//Text $1AF2C8
#WRITE(ptr,$18C938)
[Sign_9]Blue Sage[END]
"
"//Text $1AF2A8
#WRITE(ptr,$18C93C)
体力が６上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF2A8
#WRITE(ptr,$18C93C)
Increases vitality by 6.[END]
"
"//Text $1AF290
#WRITE(ptr,$18C954)
[Sign_9]ブルーラベンダー[END]
","//Text $1AF290
#WRITE(ptr,$18C954)
[Sign_9]Blue Lavender[END]
"
"//Text $1AF270
#WRITE(ptr,$18C958)
攻撃力が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF270
#WRITE(ptr,$18C958)
Increases physical attack by 2.[END]
"
"//Text $1AF258
#WRITE(ptr,$18C970)
[Sign_9]ブルーベルベーヌ[END]
","//Text $1AF258
#WRITE(ptr,$18C970)
[Sign_9]Blue Verbena[END]
"
"//Text $1AF238
#WRITE(ptr,$18C974)
防御力が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF238
#WRITE(ptr,$18C974)
Increases defense by 2.[END]
"
"//Text $1AF220
#WRITE(ptr,$18C98C)
[Sign_9]ブルーローズマリー[END]
","//Text $1AF220
#WRITE(ptr,$18C98C)
[Sign_9]Blue Rosemary[END]
"
"//Text $1AF200
#WRITE(ptr,$18C990)
術攻撃力が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF200
#WRITE(ptr,$18C990)
Increases magic attack by 2.[END]
"
"//Text $1AF1E8
#WRITE(ptr,$18C9A8)
[Sign_9]ブルーサフラン[END]
","//Text $1AF1E8
#WRITE(ptr,$18C9A8)
[Sign_9]Blue Saffron[END]
"
"//Text $1AF1C8
#WRITE(ptr,$18C9AC)
術防御力が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF1C8
#WRITE(ptr,$18C9AC)
Increases magic defense by 2.[END]
"
"//Text $1AF1B0
#WRITE(ptr,$18C9C4)
[Sign_9]ブルーカモミール[END]
","//Text $1AF1B0
#WRITE(ptr,$18C9C4)
[Sign_9]Blue Camomile[END]
"
"//Text $1AF190
#WRITE(ptr,$18C9C8)
命中率が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF190
#WRITE(ptr,$18C9C8)
Increases accuracy by 2.[END]
"
"//Text $1AF178
#WRITE(ptr,$18C9E0)
[Sign_9]ブルーセボリー[END]
","//Text $1AF178
#WRITE(ptr,$18C9E0)
[Sign_9]Blue Savory[END]
"
"//Text $1AF158
#WRITE(ptr,$18C9E4)
回避率が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF158
#WRITE(ptr,$18C9E4)
Increases evasion by 2.[END]
"
"//Text $1AF140
#WRITE(ptr,$18C9FC)
[Sign_9]ブルージャスミン[END]
","//Text $1AF140
#WRITE(ptr,$18C9FC)
[Sign_9]Blue Jasmine[END]
"
"//Text $1AF120
#WRITE(ptr,$18CA00)
集中力が２上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF120
#WRITE(ptr,$18CA00)
Increases critical by 2.[END]
"
"//Text $1AF108
#WRITE(ptr,$18CA18)
[Sign_9]レッドセージ[END]
","//Text $1AF108
#WRITE(ptr,$18CA18)
[Sign_9]Red Sage[END]
"
"//Text $1AF0E8
#WRITE(ptr,$18CA1C)
体力が１０上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF0E8
#WRITE(ptr,$18CA1C)
Increases vitality by 10.[END]
"
"//Text $1AF0D0
#WRITE(ptr,$18CA34)
[Sign_9]レッドラベンダー[END]
","//Text $1AF0D0
#WRITE(ptr,$18CA34)
[Sign_9]Red Lavender[END]
"
"//Text $1AF0B0
#WRITE(ptr,$18CA38)
攻撃力が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF0B0
#WRITE(ptr,$18CA38)
Increases physical attack by 3.[END]
"
"//Text $1AF098
#WRITE(ptr,$18CA50)
[Sign_9]レッドベルベーヌ[END]
","//Text $1AF098
#WRITE(ptr,$18CA50)
[Sign_9]Red Verbena[END]
"
"//Text $1AF078
#WRITE(ptr,$18CA54)
防御力が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF078
#WRITE(ptr,$18CA54)
Increases defense by 3.[END]
"
"//Text $1AF060
#WRITE(ptr,$18CA6C)
[Sign_9]レッドローズマリー[END]
","//Text $1AF060
#WRITE(ptr,$18CA6C)
[Sign_9]Red Rosemary[END]
"
"//Text $1AF040
#WRITE(ptr,$18CA70)
術攻撃力が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF040
#WRITE(ptr,$18CA70)
Increases magic attack by 3.[END]
"
"//Text $1AF028
#WRITE(ptr,$18CA88)
[Sign_9]レッドサフラン[END]
","//Text $1AF028
#WRITE(ptr,$18CA88)
[Sign_9]Red Saffron[END]
"
"//Text $1AF008
#WRITE(ptr,$18CA8C)
術防御力が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AF008
#WRITE(ptr,$18CA8C)
Increases magic defense by 3.[END]
"
"//Text $1AEFF0
#WRITE(ptr,$18CAA4)
[Sign_9]レッドカモミール[END]
","//Text $1AEFF0
#WRITE(ptr,$18CAA4)
[Sign_9]Red Camomile[END]
"
"//Text $1AEFD0
#WRITE(ptr,$18CAA8)
命中率が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AEFD0
#WRITE(ptr,$18CAA8)
Increases accuracy by 3.[END]
"
"//Text $1AEFB8
#WRITE(ptr,$18CAC0)
[Sign_9]レッドセボリー[END]
","//Text $1AEFB8
#WRITE(ptr,$18CAC0)
[Sign_9]Red Savory[END]
"
"//Text $1AEF98
#WRITE(ptr,$18CAC4)
回避率が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AEF98
#WRITE(ptr,$18CAC4)
Increases evasion by 3.[END]
"
"//Text $1AEF80
#WRITE(ptr,$18CADC)
[Sign_9]レッドジャスミン[END]
","//Text $1AEF80
#WRITE(ptr,$18CADC)
[Sign_9]Red Jasmine[END]
"
"//Text $1AEF60
#WRITE(ptr,$18CAE0)
集中力が３上昇する薬草。[LINE]
[LINE]
[END]
","//Text $1AEF60
#WRITE(ptr,$18CAE0)
Increases critical by 3.[END]
"
"//Text $1AEF48
#WRITE(ptr,$18CAF8)
[Sign_Box]ポムポムのたね[END]
","//Text $1AEF48
#WRITE(ptr,$18CAF8)
[Sign_Box]Pom Seed[END]
"
"//Text $1AEF00
#WRITE(ptr,$18CAFC)
初心者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEF00
#WRITE(ptr,$18CAFC)
Seeds intended for beginners.[LINE]
A support item for cultivation.[END]
"
"//Text $1AEEE8
#WRITE(ptr,$18CB14)
[Sign_Box]エステマのたね[END]
","//Text $1AEEE8
#WRITE(ptr,$18CB14)
[Sign_Box]Estima Seed[END]
"
"//Text $1AEEA0
#WRITE(ptr,$18CB18)
脱初心者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEEA0
#WRITE(ptr,$18CB18)
Seeds for seasoned gardeners.[LINE]
A support item for cultivation.[END]
"
"//Text $1AEE88
#WRITE(ptr,$18CB30)
[Sign_Box]ラナケアルのたね[END]
","//Text $1AEE88
#WRITE(ptr,$18CB30)
[Sign_Box]Lanakear Seed[END]
"
"//Text $1AEE40
#WRITE(ptr,$18CB34)
初級者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEE40
#WRITE(ptr,$18CB34)
Seeds for learnerning gardening.[LINE]
A support item for cultivation.[END]
"
"//Text $1AEE28
#WRITE(ptr,$18CB4C)
[Sign_Box]ドルゲニアのたね[END]
","//Text $1AEE28
#WRITE(ptr,$18CB4C)
[Sign_Box]Dolgenia Seed[END]
"
"//Text $1AEDE0
#WRITE(ptr,$18CB50)
中級者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEDE0
#WRITE(ptr,$18CB50)
Seeds for intermediate use.[LINE]
A support item for cultivation.[END]
"
"//Text $1AEDC8
#WRITE(ptr,$18CB68)
[Sign_Box]ペンペンのたね[END]
","//Text $1AEDC8
#WRITE(ptr,$18CB68)
[Sign_Box]Phen Seed[END]
"
"//Text $1AED80
#WRITE(ptr,$18CB6C)
熟練者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AED80
#WRITE(ptr,$18CB6C)
Seeds for experienced used.[LINE]
A support item for cultivation.[END]
"
"//Text $1AED68
#WRITE(ptr,$18CB84)
[Sign_Box]オリオラのたね[END]
","//Text $1AED68
#WRITE(ptr,$18CB84)
[Sign_Box]Oriola Seed[END]
"
"//Text $1AED20
#WRITE(ptr,$18CB88)
上級者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AED20
#WRITE(ptr,$18CB88)
Seeds for the proficient.[LINE]
A support item for cultivation.[END]
"
"//Text $1AED08
#WRITE(ptr,$18CBA0)
[Sign_Box]チャラックのたね[END]
","//Text $1AED08
#WRITE(ptr,$18CBA0)
[Sign_Box]Charak Seed[END]
"
"//Text $1AECC0
#WRITE(ptr,$18CBA4)
超上級者用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AECC0
#WRITE(ptr,$18CBA4)
Seeds for experts. A support[LINE]
item for cultivation.[END]
"
"//Text $1AECA8
#WRITE(ptr,$18CBBC)
[Sign_Box]おうごんのたね[END]
","//Text $1AECA8
#WRITE(ptr,$18CBBC)
[Sign_Box]Golden Seed[END]
"
"//Text $1AEC60
#WRITE(ptr,$18CBC0)
マスター用栽培セットの種。[LINE]
「種育て」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEC60
#WRITE(ptr,$18CBC0)
Seeds for masters. A support[LINE]
item for cultivation.[END]
"
"//Text $1AEC50
#WRITE(ptr,$18CBD8)
[Sign_Box]リンゴ[END]
","//Text $1AEC50
#WRITE(ptr,$18CBD8)
[Sign_Box]Apple[END]
"
"//Text $1AEC08
#WRITE(ptr,$18CBDC)
甘酸っぱい芳香がある果物。[LINE]
「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEC08
#WRITE(ptr,$18CBDC)
A fruit with a sweet and sour aroma.[LINE]
A support item for mixing.[END]
"
"//Text $1AEBF8
#WRITE(ptr,$18CBF4)
[Sign_Box]モモ[END]
","//Text $1AEBF8
#WRITE(ptr,$18CBF4)
[Sign_Box]Peach[END]
"
"//Text $1AEBB0
#WRITE(ptr,$18CBF8)
柔らかく多汁で甘い薄紅色の果物。[LINE]
「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEBB0
#WRITE(ptr,$18CBF8)
A sweet fruit with gentle succulence.[LINE]
A support item for mixing.[END]
"
"//Text $1AEBA0
#WRITE(ptr,$18CC10)
[Sign_Box]ブドウ[END]
","//Text $1AEBA0
#WRITE(ptr,$18CC10)
[Sign_Box]Grape[END]
"
"//Text $1AEB58
#WRITE(ptr,$18CC14)
球形の液果が房状になる果物。[LINE]
「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEB58
#WRITE(ptr,$18CC14)
Round, fleshy fruits formed in a[LINE]
bunch. A support item for mixing.[END]
"
"//Text $1AEB48
#WRITE(ptr,$18CC2C)
[Sign_Box]ドリアン[END]
","//Text $1AEB48
#WRITE(ptr,$18CC2C)
[Sign_Box]Durian[END]
"
"//Text $1AEB00
#WRITE(ptr,$18CC30)
全体がとげにおおわれている果物。[LINE]
「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEB00
#WRITE(ptr,$18CC30)
A fruit entirely covered in prickles.[LINE]
A support item for mixing.[END]
"
"//Text $1AEAE8
#WRITE(ptr,$18CC48)
[Sign_Box]ドラゴンフルーツ[END]
","//Text $1AEAE8
#WRITE(ptr,$18CC48)
[Sign_Box]Dragon Fruit[END]
"
"//Text $1AEAA0
#WRITE(ptr,$18CC4C)
ピタヤとも呼ばれる[LINE]
サボテンの実。「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEAA0
#WRITE(ptr,$18CC4C)
Known as a pitaya and is actually a[LINE]
cactus. A support item for mixing.[END]
"
"//Text $1AEA88
#WRITE(ptr,$18CC64)
[Sign_Box]ディホンの実[END]
","//Text $1AEA88
#WRITE(ptr,$18CC64)
[Sign_Box]Dijon Fruit[END]
"
"//Text $1AEA48
#WRITE(ptr,$18CC68)
熱帯に自生する果樹。[LINE]
「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AEA48
#WRITE(ptr,$18CC68)
A fruit native to the tropics.[LINE]
A support item for mixing.[END]
"
"//Text $1AEA38
#WRITE(ptr,$18CC80)
[Sign_Box]バインの実[END]
","//Text $1AEA38
#WRITE(ptr,$18CC80)
[Sign_Box]Pine Fruit[END]
"
"//Text $1AE9E0
#WRITE(ptr,$18CC84)
山中に自生し、黄色に熟した実は[LINE]
食べられる。「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AE9E0
#WRITE(ptr,$18CC84)
Native to the mountains and is[LINE]
ripe when amber. A support[LINE]
item for mixing.[END]
"
"//Text $1AE9D0
#WRITE(ptr,$18CC9C)
[Sign_Box]センナの実[END]
","//Text $1AE9D0
#WRITE(ptr,$18CC9C)
[Sign_Box]Sennafruit[END]
"
"//Text $1AE978
#WRITE(ptr,$18CCA0)
古くからお通じの良くなると[LINE]
言われる医薬品。「調合」の[LINE]
サポートタレントアイテム。[END]
","//Text $1AE978
#WRITE(ptr,$18CCA0)
Used as medicine to help bowel[LINE]
movements since a long time.[LINE]
A support item for mixing.[END]
"
"//Text $1AE960
#WRITE(ptr,$18CCB8)
[Sign_Box]レメディの実[END]
","//Text $1AE960
#WRITE(ptr,$18CCB8)
[Sign_Box]Remedy Fruit[END]
"
