"Japanese","English"
"//Text $1BA928
#WRITE(ptr,$1928F4)
ラディスロウの機能を[LINE]
復活させるための装置。[LINE]
[END]
","//Text $1BA928
#WRITE(ptr,$1928F4)
A device to restore[LINE]
Radisrol's functions.[LINE]
[END]
"
"//Text $1BA910
#WRITE(ptr,$19290C)
[Sign_Key]エネルギーユニット[END]
","//Text $1BA910
#WRITE(ptr,$19290C)
[Sign_Key]Energy Unit[END]
"
"//Text $1BA8D0
#WRITE(ptr,$192910)
アンスズーンのメインシステムに[LINE]
エネルギーを供給するユニット。[LINE]
[END]
","//Text $1BA8D0
#WRITE(ptr,$192910)
A unit that supplies energy[LINE]
to Deimos' main system.[LINE]
[END]
"
"//Text $1BA8B8
#WRITE(ptr,$192928)
[Sign_Key]赤色カードキー[END]
","//Text $1BA8B8
#WRITE(ptr,$192928)
[Sign_Key]Red Key Card[END]
"
"//Text $1BA880
#WRITE(ptr,$19292C)
ヘルレイオスの扉を[LINE]
開けるための赤色カードキー。[LINE]
[END]
","//Text $1BA880
#WRITE(ptr,$19292C)
A red key card that opens[LINE]
a door in Helraios.[LINE]
[END]
"
"//Text $1BA868
#WRITE(ptr,$192944)
[Sign_Key]青色カードキー[END]
","//Text $1BA868
#WRITE(ptr,$192944)
[Sign_Key]Blue Key Card[END]
"
"//Text $1BA830
#WRITE(ptr,$192948)
ヘルレイオスの扉を[LINE]
開けるための青色カードキー。[LINE]
[END]
","//Text $1BA830
#WRITE(ptr,$192948)
A blue key card that opens[LINE]
a door in Helraios.[LINE]
[END]
"
"//Text $1BA818
#WRITE(ptr,$192960)
[Sign_Key]黄色カードキー[END]
","//Text $1BA818
#WRITE(ptr,$192960)
[Sign_Key]Yellow Key Card[END]
"
"//Text $1BA7E0
#WRITE(ptr,$192964)
ヘルレイオスの扉を[LINE]
開けるための黄色カードキー。[LINE]
[END]
","//Text $1BA7E0
#WRITE(ptr,$192964)
A yellow key card that opens[LINE]
a door in Helraios.[LINE]
[END]
"
"//Text $1BA7C8
#WRITE(ptr,$19297C)
[Sign_Key]灰色カードキー[END]
","//Text $1BA7C8
#WRITE(ptr,$19297C)
[Sign_Key]Grey Key Card[END]
"
"//Text $1BA790
#WRITE(ptr,$192980)
ヘルレイオスの扉を[LINE]
開けるための灰色カードキー。[LINE]
[END]
","//Text $1BA790
#WRITE(ptr,$192980)
A grey key card that opens[LINE]
a door in Helraios.[LINE]
[END]
"
"//Text $1BA770
#WRITE(ptr,$192998)
[Sign_Key]鏡面バリアー中和装置[END]
","//Text $1BA770
#WRITE(ptr,$192998)
[Sign_Key]Mirror Shield Switch[END]
"
"//Text $1BA748
#WRITE(ptr,$19299C)
鏡面バリアーを中和するための装置。[LINE]
[LINE]
[END]
","//Text $1BA748
#WRITE(ptr,$19299C)
A device to neutralize[LINE]
the Mirror Shield.[LINE]
[END]
"
"//Text $1BA730
#WRITE(ptr,$1929B4)
[Sign_Key]ベルセリウム[END]
","//Text $1BA730
#WRITE(ptr,$1929B4)
[Sign_Key]Berselium[END]
"
"//Text $1BA6F8
#WRITE(ptr,$1929B8)
生体金属の原料の青い鉱石。[LINE]
飛行竜を直すのに必要。[LINE]
[END]
","//Text $1BA6F8
#WRITE(ptr,$1929B8)
A blue ore that is a source for biometals.[LINE]
Necessary to fix the Draconis.[LINE]
[END]
"
"//Text $1BA6E0
#WRITE(ptr,$1929D0)
[Sign_Key]マス・ベルセリウム[END]
","//Text $1BA6E0
#WRITE(ptr,$1929D0)
[Sign_Key]Berselium Mass[END]
"
"//Text $1BA6A0
#WRITE(ptr,$1929D4)
生体金属の原料の青い鉱石。[LINE]
飛行竜を直すのに十分な量がある。[LINE]
[END]
","//Text $1BA6A0
#WRITE(ptr,$1929D4)
A blue ore that is a source for biometals.[LINE]
There is enough to fix the Draconis.[LINE]
[END]
"
"//Text $1BA688
#WRITE(ptr,$1929EC)
[Sign_Key]新興国のレンズ[END]
","//Text $1BA688
#WRITE(ptr,$1929EC)
[Sign_Key]Industrial Lens[END]
"
"//Text $1BA638
#WRITE(ptr,$1929F0)
集積レンズ砲の出力を確保するため[LINE]
にフィッツガルドの人たちが集めた[LINE]
レンズ。[END]
","//Text $1BA638
#WRITE(ptr,$1929F0)
Lens collected by the people[LINE]
of Fitzgald to operate the[LINE]
Lens Cannon.[END]
"
"//Text $1BA620
#WRITE(ptr,$192A08)
[Sign_Key]雪国のレンズ[END]
","//Text $1BA620
#WRITE(ptr,$192A08)
[Sign_Key]Glacial Lens[END]
"
"//Text $1BA5D0
#WRITE(ptr,$192A0C)
集積レンズ砲の出力を確保するため[LINE]
にファンダリアの人たちが集めた[LINE]
レンズ。[END]
","//Text $1BA5D0
#WRITE(ptr,$192A0C)
Lens collected by the people[LINE]
of Phandaria to operate the[LINE]
Lens Cannon.[END]
"
"//Text $1BA5B8
#WRITE(ptr,$192A24)
[Sign_Key]島国のレンズ[END]
","//Text $1BA5B8
#WRITE(ptr,$192A24)
[Sign_Key]Island Lens[END]
"
"//Text $1BA568
#WRITE(ptr,$192A28)
集積レンズ砲の出力を確保するため[LINE]
にアクアヴェイルの人たちが集めた[LINE]
レンズ。[END]
","//Text $1BA568
#WRITE(ptr,$192A28)
Lens collected by the people[LINE]
of Aquaveil to operate the[LINE]
Lens Cannon.[END]
"
"//Text $1BA550
#WRITE(ptr,$192A40)
[Sign_Key]砂漠のレンズ[END]
","//Text $1BA550
#WRITE(ptr,$192A40)
[Sign_Key]Desert Lens[END]
"
"//Text $1BA500
#WRITE(ptr,$192A44)
集積レンズ砲の出力を確保するため[LINE]
にカルバレイスの人たちが集めた[LINE]
レンズ。[END]
","//Text $1BA500
#WRITE(ptr,$192A44)
Lens collected by the people[LINE]
of Calvalese to operate the[LINE]
Lens Cannon.[END]

"
"//Text $1BA4E8
#WRITE(ptr,$192A5C)
[Sign_Key]アルカナキー[END]
","//Text $1BA4E8
#WRITE(ptr,$192A5C)
[Sign_Key]Arcana Key[END]
"
"//Text $1BA4B0
#WRITE(ptr,$192A60)
ＥＸダンジョン「アルカナルイン」[LINE]
に入るための鍵。[LINE]
[END]
","//Text $1BA4B0
#WRITE(ptr,$192A60)
The key to enter the EX[LINE]
Dungeon [Arcana Ruins].[LINE]
[END]
"
"//Text $1BA4A0
#WRITE(ptr,$192A78)
[Sign_Lens5]ラフレンズ[END]
","//Text $1BA4A0
#WRITE(ptr,$192A78)
[Sign_Lens5]Rough Lens[END]
"
"//Text $1BA470
#WRITE(ptr,$192A7C)
傷のついたレンズ。[LINE]
安価ではあるが取引は可能。[LINE]
[END]
","//Text $1BA470
#WRITE(ptr,$192A7C)
Scratched lens. It's not worth[LINE]
much, but is tradeable.[LINE]
[END]
"
"//Text $1BA458
#WRITE(ptr,$192A94)
[Sign_Lens4]クリアレンズ[END]
","//Text $1BA458
#WRITE(ptr,$192A94)
[Sign_Lens4]Clear Lens[END]
"
"//Text $1BA418
#WRITE(ptr,$192A98)
傷のない精錬されたレンズ。[LINE]
一般的にレンズといえばこれ。[LINE]
[END]
","//Text $1BA418
#WRITE(ptr,$192A98)
Refined lens with no scratches.[LINE]
This is the common type of lens.[LINE]
[END]
"
"//Text $1BA400
#WRITE(ptr,$192AB0)
[Sign_Lens3]ブルーレンズ[END]
","//Text $1BA400
#WRITE(ptr,$192AB0)
[Sign_Lens3]Blue Lens[END]
"
"//Text $1BA3B0
#WRITE(ptr,$192AB4)
やや珍しい、濃い青色のレンズ。[LINE]
高価な家具などの飾りに[LINE]
用いることもある。[END]
","//Text $1BA3B0
#WRITE(ptr,$192AB4)
A rare, dark blue lens. Sometimes[LINE]
used to decorate valueable furniture.[LINE]
[END]
"
"//Text $1BA3A0
#WRITE(ptr,$192ACC)
[Sign_Lens2]タフレンズ[END]
","//Text $1BA3A0
#WRITE(ptr,$192ACC)
[Sign_Lens2]Tough Lens[END]
"
"//Text $1BA360
#WRITE(ptr,$192AD0)
非常に強度の高いレンズ。[LINE]
軍事用装甲などにも用いられる。[LINE]
[END]
","//Text $1BA360
#WRITE(ptr,$192AD0)
A very durable lens. It is[LINE]
used in military armor.[LINE]
[END]
"
"//Text $1BA348
#WRITE(ptr,$192AE8)
[Sign_Lens1]スフィアレンズ[END]
","//Text $1BA348
#WRITE(ptr,$192AE8)
[Sign_Lens1]Sphere Lens[END]
"
"//Text $1BA300
#WRITE(ptr,$192AEC)
完全球体の非常に珍しいレンズ。[LINE]
富裕層のステータスとして扱われる。[LINE]
[END]
","//Text $1BA300
#WRITE(ptr,$192AEC)
A very rare lens that is spherical.[LINE]
It is a symbol for the wealthy.[LINE]
[END]
"
"//Text $1BA2F0
#WRITE(ptr,$192B04)
[Sign_Key]バルブ[END]
","//Text $1BA2F0
#WRITE(ptr,$192B04)
[Sign_Key]Valve[END]
"
"//Text $1BA2C0
#WRITE(ptr,$192B08)
モリュウ城の給水装置を[LINE]
調節するためのバルブ。[LINE]
[END]
","//Text $1BA2C0
#WRITE(ptr,$192B08)
A valve that regulate the water[LINE]
supply system in Moreau Castle.[LINE]
[END]
"
"//Text $1BA2A8
#WRITE(ptr,$192B20)
[Sign_Key]天地神明の石版・天[END]
","//Text $1BA2A8
#WRITE(ptr,$192B20)
[Sign_Key]Lithograph - Heaven[END]
"
"//Text $1BA270
#WRITE(ptr,$192B24)
何かの紋章が書かれている石版。[LINE]
不思議な力を感じる……[LINE]
[END]
","//Text $1BA270
#WRITE(ptr,$192B24)
A tablet with some kind of[LINE]
emblem on it.[LINE]
I feel a mysterious power...[LINE]
[END]
"
"//Text $1BA258
#WRITE(ptr,$192B3C)
[Sign_Key]天地神明の石版・地[END]
","//Text $1BA258
#WRITE(ptr,$192B3C)
[Sign_Key]Lithograph - Earth[END]
"
"//Text $1BA270
#WRITE(ptr,$192B40)
何かの紋章が書かれている石版。[LINE]
不思議な力を感じる……[LINE]
[END]
","//Text $1BA270
#WRITE(ptr,$192B40)
A tablet with some kind[LINE]
of emblem on it. I feel a [LINE]
mysterious power...[LINE]
[END]
"
"//Text $1BA240
#WRITE(ptr,$192B58)
[Sign_Key]天地神明の石版・神[END]
","//Text $1BA240
#WRITE(ptr,$192B58)
[Sign_Key]Lithograph - God[END]
"
"//Text $1BA270
#WRITE(ptr,$192B5C)
何かの紋章が書かれている石版。[LINE]
不思議な力を感じる……[LINE]
[END]
","//Text $1BA270
#WRITE(ptr,$192B5C)
A tablet with some kind of[LINE]
emblem on it.[LINE]
I feel a mysterious power...[LINE]
[END]
"
"//Text $1BA228
#WRITE(ptr,$192B74)
[Sign_Key]天地神明の石版・明[END]
","//Text $1BA228
#WRITE(ptr,$192B74)
[Sign_Key]Lithograph - Light[END]
"
"//Text $1BA270
#WRITE(ptr,$192B78)
何かの紋章が書かれている石版。[LINE]
不思議な力を感じる……[LINE]
[END]
","//Text $1BA270
#WRITE(ptr,$192B78)
A tablet with some kind of[LINE]
emblem on it.[LINE]
I feel a mysterious power...[LINE]
[END]
"
